GKZ,Name,Wahlberechtigte,abgegeben,gueltig,ungueltig,spoe,oevp,fpoe,gruene,neos,kpoe,cpoe,pilz,schnell,gilt
G30522,Oed-Oehling,1301,1027,997,30,203,382,171,110,78,7,3,16,23,4
G30524,Opponitz,754,597,586,11,168,241,86,36,35,6,1,3,3,7
G30526,St Georgen am Reith,455,379,371,8,107,158,39,22,32,3,2,3,3,2
G30527,St Georgen am Ybbsfelde,2046,1663,1616,47,352,617,341,111,106,9,20,14,23,23
G30529,St Pantaleon-Erla,1969,1603,1557,46,594,381,310,107,107,17,1,11,21,8
G30530,St Peter in der Au,3949,3189,3100,89,555,1443,458,255,256,9,20,23,58,23
G30531,St Valentin,7486,6061,5898,163,2610,1157,1025,486,423,41,22,57,39,38
G30532,Seitenstetten,2537,2020,1955,65,355,842,311,201,159,9,13,21,30,14
G30533,Sonntagberg,3208,2532,2462,70,1074,575,405,135,163,11,19,17,38,25
G30534,Strengberg,1633,1293,1233,60,288,552,173,79,97,2,8,22,9,3
G30536,Viehdorf,972,812,791,21,132,382,133,47,63,4,7,3,16,4
G30538,Wallsee-Sindelburg,1742,1306,1263,43,338,513,233,68,64,3,7,21,13,3
G30539,Weistrach,1759,1417,1391,26,198,712,190,79,114,10,11,14,58,5
G30541,Winklarn,1213,925,906,19,246,305,196,51,68,1,4,11,11,13
G30542,Wolfsbach,1496,1220,1191,29,156,671,168,59,85,5,20,9,10,8
G30543,Ybbsitz,2951,2359,2285,74,389,1141,275,163,191,8,31,24,38,25
G30544,Zeillern,1369,1135,1107,28,161,520,215,67,93,7,4,10,19,11
G30601,Alland,1895,1419,1390,29,301,414,324,129,142,10,9,32,16,13
G30602,Altenmarkt an der Triesting,1535,1196,1161,35,280,462,219,62,82,5,9,16,17,9
G30603,Bad Vöslau,8451,6420,6283,137,2091,1379,1297,711,416,42,33,178,70,66
G30604,Baden,19015,13311,13075,236,3030,4122,2217,1888,927,76,85,457,143,130
G30605,Berndorf,6391,4611,4522,89,1784,786,1109,367,283,20,14,70,47,42
G30607,Ebreichsdorf,7239,5415,5324,91,1947,881,1321,441,437,31,20,115,78,53
G30608,Enzesfeld-Lindabrunn,3173,2507,2449,58,976,410,593,183,177,17,10,44,26,13
G30609,Furth an der Triesting,633,527,512,15,71,234,97,26,42,5,7,3,14,13
G30612,Günselsdorf,1323,1018,999,19,424,159,241,55,79,9,1,12,10,9
G30613,Heiligenkreuz,1089,848,826,22,171,276,164,90,66,6,13,26,8,6
G30614,Hernstein,1172,1004,973,31,229,429,156,59,63,4,3,14,8,8
G30615,Hirtenberg,1687,1308,1295,13,582,127,396,75,59,12,5,21,4,14
G30616,Klausen-Leopoldsdorf,1184,882,858,24,271,206,181,54,91,5,3,19,19,9
G30618,Kottingbrunn,5573,4312,4239,73,1588,714,981,356,351,38,23,98,47,43
G30620,Leobersdorf,3150,2396,2343,53,903,423,552,159,196,14,6,50,21,19
G30621,Mitterndorf an der Fischa,1481,1066,1044,22,416,121,299,64,91,8,3,20,14,8
G30623,Oberwaltersdorf,2845,2163,2132,31,734,449,414,211,189,15,4,66,34,16
G30625,Pfaffstätten,2401,1923,1881,42,461,675,298,237,109,22,7,43,16,13
G30626,Pottendorf,4800,3686,3625,61,1494,661,871,215,260,21,9,41,14,39
G30627,Pottenstein,2209,1701,1668,33,643,339,391,128,90,14,9,26,16,12
G30629,Reisenberg,1161,994,968,26,437,214,179,31,69,5,3,21,7,2
G30631,Schönau an der Triesting,1477,1084,1057,27,413,196,245,76,76,11,1,24,10,5
G30633,Seibersdorf,1087,859,833,26,210,326,172,43,53,3,1,12,6,7
G30635,Sooß,833,657,641,16,182,199,104,77,51,3,1,13,7,4
G30636,Tattendorf,960,754,738,16,235,197,157,60,59,0,3,15,4,8
G30637,Teesdorf,1299,1054,1027,27,481,214,172,66,59,3,1,16,9,6
G30639,Traiskirchen,12172,9337,9127,210,3601,1434,2226,730,660,61,35,200,90,90
G30641,Trumau,2200,1804,1777,27,821,268,364,128,119,10,4,34,19,10
G30645,Weissenbach an der Triesting,1318,1031,1012,19,345,271,216,72,65,6,5,17,9,6
G30646,Blumau-Neurißhof,1346,995,983,12,379,139,299,62,73,6,4,13,4,4
G30701,Au am Leithaberge,764,632,624,8,138,242,169,24,41,3,0,4,2,1
G30702,Bad Deutsch-Altenburg,1112,902,886,16,294,178,188,50,134,10,0,11,14,7
G30703,Berg,547,451,442,9,197,130,67,19,22,2,0,2,0,3
G30704,Bruck an der Leitha,6056,4456,4361,95,1744,981,801,377,281,35,10,54,37,41
G30706,Enzersdorf an der Fischa,2368,1894,1852,42,700,447,442,105,92,12,1,25,16,12
G30708,Göttlesbrunn-Arbesthal,1095,896,879,17,182,394,166,42,67,6,5,8,3,6
G30709,Götzendorf an der Leitha,1448,1114,1085,29,451,263,203,66,50,7,1,23,16,5
G30710,Hainburg ad Donau,4085,2892,2855,37,960,664,710,181,236,25,1,29,24,25
G30711,Haslau-Maria Ellend,1387,1070,1054,16,408,228,186,84,91,13,1,20,22,1
G30712,Höflein,931,782,764,18,187,320,151,29,55,2,2,4,7,7
G30713,Hof am Leithaberge,1122,987,961,26,313,277,235,28,76,5,0,14,11,2
G30715,Hundsheim,474,413,402,11,179,101,73,12,19,2,0,11,0,5
G30716,Mannersdorf am Leithagebirge,2963,2315,2256,59,1191,320,410,159,86,9,2,31,24,24
G30718,Petronell-Carnuntum,976,774,752,22,304,189,143,50,44,5,1,9,2,5
G30719,Prellenkirchen,1087,911,896,15,225,388,171,27,46,14,2,11,8,4
G30721,Rohrau,1181,958,937,21,292,347,164,65,43,1,8,10,5,2
G30722,Scharndorf,905,749,730,19,207,314,105,43,37,3,1,10,4,6
G30724,Sommerein,1598,1280,1261,19,551,273,269,52,62,8,3,26,8,9
G30726,Trautmannsdorf an der Leitha,2254,1798,1749,49,549,553,336,107,113,9,5,37,24,16
G30728,Wolfsthal,605,485,477,8,157,177,84,13,31,4,1,3,6,1
G30801,Aderklaa,144,129,127,2,4,81,21,9,7,0,0,3,0,2
G30802,Andlersdorf,103,78,73,5,18,41,8,4,1,0,1,0,0,0
G30803,Angern an der March,2518,2055,2020,35,892,471,393,81,111,14,3,28,7,20
G30804,Auersthal,1442,1194,1159,35,415,405,165,89,34,7,7,20,9,8
G30805,Bad Pirawarth,1301,1073,1045,28,325,392,170,54,74,0,3,14,11,2
G30808,Deutsch-Wagram,5852,4407,4318,89,1470,933,1058,395,237,33,12,95,53,32
G30810,Drösing,995,771,760,11,312,231,131,30,34,5,3,1,6,7
G30811,Dürnkrut,1846,1415,1395,20,635,295,304,38,82,11,2,15,4,9
G30812,Ebenthal,660,512,503,9,156,141,138,29,27,2,1,3,6,0
G30813,Eckartsau,933,726,711,15,165,307,156,22,35,7,2,9,7,1
G30814,Engelhartstetten,1547,1237,1227,10,377,389,275,52,92,6,5,9,12,10
G30817,Gänserndorf,7331,5379,5279,100,1910,1037,1250,500,339,30,16,97,65,35
G30819,Glinzendorf,184,154,152,2,29,75,27,6,6,2,0,2,5,0
G30821,Groß-Enzersdorf,7125,5442,5339,103,1845,1155,1238,470,375,34,8,125,54,35
G30822,Großhofen,62,51,51,0,8,31,9,1,1,0,1,0,0,0
G30824,Groß-Schweinbarth,964,791,773,18,271,299,130,28,23,3,6,4,4,5
G30825,Haringsee,938,730,718,12,202,272,144,31,47,5,0,4,5,8
G30826,Hauskirchen,1012,826,809,17,255,306,134,40,42,8,6,6,7,5
G30827,Hohenau an der March,2250,1701,1671,30,919,266,293,52,81,17,3,13,10,17
G30828,Hohenruppersdorf,748,653,625,28,119,299,107,34,33,0,2,22,5,4
G30829,Jedenspeigen,928,771,751,20,279,267,113,25,42,3,2,5,7,8
G30830,Lassee,1873,1426,1402,24,434,417,336,58,117,7,1,17,10,5
G30831,Leopoldsdorf im Marchfelde,1865,1454,1437,17,649,275,294,82,80,11,5,22,10,9
G30834,Mannsdorf an der Donau,295,243,237,6,62,102,36,10,21,1,0,3,2,0
G30835,Marchegg,2196,1644,1618,26,744,289,402,64,66,7,10,16,9,11
G30836,Markgrafneusiedl,670,527,511,16,211,116,97,28,41,3,1,5,6,3
G30838,Matzen-Raggendorf,2026,1639,1620,19,518,498,353,89,107,6,1,22,10,16
G30841,Neusiedl an der Zaya,1011,812,786,26,248,302,157,22,31,5,2,5,6,8
G30842,Obersiebenbrunn,1254,995,975,20,374,188,262,48,60,8,3,9,13,10
G30844,Orth an der Donau,1586,1200,1171,29,354,354,276,80,52,11,3,18,17,6
G30845,Palterndorf-Dobermannsdorf,1018,774,754,20,203,333,132,14,49,3,3,7,7,3
G30846,Parbasdorf,112,100,97,3,7,65,15,5,4,0,0,0,1,0
G30848,Prottes,1044,813,793,20,267,224,196,34,46,0,1,16,1,8
G30849,Raasdorf,412,314,309,5,95,122,48,18,10,4,1,8,3,0
G30850,Ringelsdorf-Niederabsdorf,1133,924,903,21,435,236,147,15,45,6,3,5,7,4
G30852,Schönkirchen-Reyersdorf,1494,1218,1189,29,417,324,250,71,71,2,0,27,14,13
G30854,Spannberg,763,615,600,15,130,246,149,23,36,0,2,3,4,7
G30856,Strasshof an der Nordbahn,6352,4748,4663,85,1943,582,1221,329,305,60,14,79,75,55
G30857,Sulz im Weinviertel,975,795,769,26,189,321,162,26,43,1,3,10,10,4
G30858,Untersiebenbrunn,1176,951,942,9,448,138,251,25,58,5,1,7,3,6
G30859,Velm-Götzendorf,657,524,514,10,168,185,84,17,33,2,6,2,9,8
G30860,Weikendorf,1527,1229,1208,21,409,347,236,90,87,10,2,15,7,5
G30863,Zistersdorf,4501,3634,3547,87,934,1462,678,167,197,17,5,40,24,23
G30865,Weiden an der March,725,570,562,8,121,294,83,27,22,2,2,4,3,4
G30902,Amaliendorf-Aalfang,938,761,728,33,392,131,112,33,42,6,0,4,3,5
G30903,Brand-Nagelberg,1453,1156,1121,35,671,199,115,41,59,9,2,6,7,12
G30904,Eggern,615,478,463,15,145,201,57,21,30,1,0,4,3,1
G30906,Eisgarn,559,457,439,18,145,204,50,7,22,2,1,2,5,1
G30908,Gmünd,4619,3414,3329,85,1409,900,533,183,194,26,19,32,20,13
G30909,Großdietmanns,1854,1491,1434,57,436,567,240,64,87,8,5,4,11,12
G30910,Bad Großpertholz,1223,971,937,34,302,363,137,38,58,9,18,4,4,4
G30912,Großschönau,996,776,748,28,107,399,105,62,54,5,4,2,8,2
G30913,Moorbad Harbach,581,524,516,8,164,182,67,34,57,2,1,4,5,0
G30915,Haugschlag,424,329,321,8,96,125,56,13,24,1,3,2,0,1
G30916,Heidenreichstein,3635,2740,2653,87,1055,857,400,132,133,13,7,25,13,18
G30917,Hirschbach,510,417,401,16,151,155,55,11,16,1,4,4,3,1
G30920,Hoheneich,1194,966,928,38,365,315,115,45,41,15,6,9,10,7
G30921,Kirchberg am Walde,1162,892,861,31,216,398,127,36,63,2,7,4,7,1
G30925,Litschau,2010,1524,1484,40,497,590,232,49,79,6,5,8,12,6
G30929,Reingers,569,446,428,18,110,233,49,8,24,0,1,1,2,0
G30932,St Martin,966,756,733,23,204,315,116,35,37,5,7,3,8,3
G30935,Schrems,4678,3608,3481,127,1642,871,526,149,176,29,13,23,34,18
G30939,Unserfrau-Altweitra,836,675,651,24,134,366,70,25,25,3,10,5,9,4
G30940,Waldenstein,943,762,739,23,124,406,122,32,41,3,1,4,4,2
G30942,Weitra,2364,1797,1739,58,461,779,224,98,105,11,11,15,24,11
G31001,Alberndorf im Pulkautal,602,473,456,17,159,154,89,17,16,3,0,5,10,3
G31008,Göllersdorf,2298,1839,1778,61,436,735,323,126,77,9,8,25,23,16
G31009,Grabern,1138,943,913,30,197,444,127,44,55,7,11,7,16,5
G31014,Guntersdorf,924,763,741,22,186,341,109,27,56,4,5,5,4,4
G31015,Hadres,1433,1174,1143,31,335,514,156,41,56,8,1,11,11,10
G31016,Hardegg,1149,926,903,23,219,505,92,17,50,4,0,7,5,4
G31018,Haugsdorf,1383,1098,1058,40,374,393,182,40,39,2,1,11,11,5
G31019,Heldenberg,948,781,753,28,154,369,118,50,38,4,2,8,6,4
G31021,Hohenwarth-Mühlbach aM,1034,835,799,36,198,403,96,35,33,6,1,8,12,7
G31022,Hollabrunn,8859,6844,6666,178,1701,2536,1243,536,370,31,32,85,81,51
G31025,Mailberg,495,409,398,11,145,137,72,14,19,2,2,1,3,3
G31026,Maissau,1584,1235,1212,23,328,519,173,74,63,5,5,15,20,10
G31028,Nappersdorf-Kammersdorf,1089,878,858,20,202,385,148,46,50,3,1,9,7,7
G31033,Pernersdorf,863,667,648,19,237,237,91,23,36,3,2,9,3,7
G31035,Pulkau,1294,1065,1042,23,303,513,112,47,31,5,9,7,10,5
G31036,Ravelsbach,1421,1068,1033,35,296,441,148,49,57,5,3,23,5,6
G31037,Retz,3508,2583,2501,82,678,1139,271,197,119,7,9,39,20,22
G31038,Retzbach,869,702,672,30,158,328,77,35,46,6,0,3,12,7
G31041,Schrattenthal,723,619,599,20,188,293,47,32,34,0,2,2,1,0
G31042,Seefeld-Kadolz,819,652,637,15,272,194,128,11,21,5,0,2,3,1
G31043,Sitzendorf an der Schmida,1780,1396,1355,41,328,733,161,58,45,4,4,8,8,6
G31051,Wullersdorf,1981,1545,1500,45,399,623,268,70,77,5,28,12,9,9
G31052,Zellerndorf,2137,1706,1660,46,564,657,235,77,73,7,6,11,17,13
G31053,Ziersdorf,2628,2139,2067,72,590,842,309,121,129,9,9,25,22,11
G31101,Altenburg,639,529,516,13,115,234,86,22,33,5,3,6,7,5
G31102,Brunn an der Wild,714,596,578,18,64,400,57,18,26,1,2,3,2,5
G31103,Burgschleinitz-Kühnring,1103,910,885,25,186,493,98,48,44,3,0,7,3,3
G31104,Drosendorf-Zissersdorf,1050,810,797,13,168,382,147,37,40,3,0,11,8,1
G31105,Eggenburg,2844,2113,2063,50,703,728,263,147,145,8,7,23,24,15
G31106,Gars am Kamp,2950,2212,2163,49,579,870,348,169,107,6,13,27,26,18
G31107,Geras,1138,945,925,20,204,514,107,29,43,3,9,8,5,3
G31109,Horn,5210,3832,3702,130,934,1454,547,356,248,16,19,47,53,28
G31110,Irnfritz-Messern,1173,969,951,18,164,539,157,18,52,4,4,7,3,3
G31111,Japons,620,508,498,10,53,347,53,16,19,1,0,4,1,4
G31113,Langau,601,509,493,16,132,236,56,18,28,3,7,4,5,4
G31114,Meiseldorf,779,624,609,15,170,311,73,21,20,3,6,1,3,1
G31117,Pernegg,590,486,468,18,80,271,58,22,25,2,0,3,5,2
G31119,Röhrenbach,487,387,374,13,29,263,34,25,10,0,1,3,6,3
G31120,Röschitz,887,753,726,27,200,368,72,23,33,5,10,4,7,4
G31121,Rosenburg-Mold,717,537,523,14,108,244,86,23,38,3,3,5,10,3
G31123,St Bernhard-Frauenhofen,1035,847,818,29,136,501,78,29,42,1,3,9,6,13
G31124,Sigmundsherberg,1470,1237,1215,22,478,489,132,42,48,1,6,6,6,7
G31129,Weitersfeld,1390,1162,1130,32,167,763,98,40,41,3,0,8,7,3
G31130,Straning-Grafenberg,659,528,512,16,137,247,51,37,23,5,2,5,4,1
G31201,Bisamberg,3306,2516,2463,53,575,914,352,330,122,19,9,100,23,19
G31202,Enzersfeld,1252,1013,985,28,285,340,191,68,58,5,1,18,9,10
G31203,Ernstbrunn,2537,1940,1887,53,431,780,357,119,116,9,9,21,22,23
G31204,Großmugl,1289,999,959,40,168,480,133,77,62,4,0,16,14,5
G31205,Großrußbach,1627,1295,1268,27,260,566,235,90,73,6,5,9,16,8
G31206,Hagenbrunn,1439,1156,1136,20,289,401,228,96,85,2,2,17,8,8
G31207,Harmannsdorf,3077,2420,2354,66,568,877,448,190,166,6,19,55,17,8
G31208,Hausleiten,2727,2186,2127,59,499,837,445,124,134,6,3,42,23,14
G31213,Korneuburg,8976,6419,6269,150,1840,1628,1193,830,422,41,12,176,77,50
G31214,Langenzersdorf,6204,4635,4526,109,1133,1362,741,648,313,35,24,159,63,48
G31215,Leitzersdorf,980,797,777,20,139,352,151,49,53,0,1,6,14,12
G31216,Leobendorf,3704,2836,2768,68,808,897,465,306,152,13,4,89,16,18
G31224,Rußbach,1109,950,918,32,218,387,172,47,53,7,2,10,14,8
G31226,Sierndorf,2874,2263,2224,39,504,915,413,158,143,21,8,27,18,17
G31227,Spillern,1539,1223,1199,24,477,232,240,116,74,11,6,27,8,8
G31228,Stetteldorf am Wagram,837,687,669,18,131,329,118,41,20,3,3,11,9,4
G31229,Stetten,964,771,751,20,255,202,150,69,34,8,0,20,5,8
G31230,Stockerau,12001,8887,8676,211,3348,1912,1662,824,509,63,40,181,82,55
G31234,Niederhollabrunn,1267,993,973,20,198,395,165,88,77,8,3,16,16,7
G31301,Aggsbach,585,468,460,8,183,129,89,18,22,5,1,7,4,2
G31302,Albrechtsberg an der Großen Krems,914,766,739,27,203,368,105,18,24,2,0,9,7,3
G31303,Bergern im Dunkelsteinerwald,1027,876,847,29,207,376,121,40,52,9,6,7,19,10
G31304,Dürnstein,770,657,638,19,136,318,93,40,30,2,0,7,8,4
G31308,Grafenegg,2396,1958,1897,61,486,806,288,126,99,13,1,33,26,19
G31309,Furth bei Göttweig,2224,1762,1719,43,571,583,265,115,102,17,8,18,31,9
G31310,Gedersdorf,1673,1410,1373,37,470,411,277,61,86,10,2,16,25,15
G31311,Gföhl,3079,2400,2303,97,652,930,376,124,126,8,9,15,38,25
G31315,Hadersdorf-Kammern,1571,1276,1237,39,432,372,222,90,79,8,1,14,11,8
G31319,Jaidhof,936,777,747,30,121,419,92,39,52,11,2,0,7,4
G31321,Krumau am Kamp,649,520,502,18,125,206,112,16,31,3,0,2,4,3
G31322,Langenlois,5796,4675,4567,108,1081,1736,835,385,304,20,23,80,66,37
G31323,Lengenfeld,1137,978,955,23,236,377,155,69,55,10,12,13,16,12
G31324,Lichtenau im Waldviertel,1685,1396,1348,48,238,773,189,34,75,8,5,4,18,4
G31326,Maria Laach am Jauerling,773,625,599,26,115,295,86,35,42,7,0,5,13,1
G31327,Mautern an der Donau,2789,2214,2157,57,593,727,373,216,137,11,7,37,39,17
G31330,Mühldorf,1158,965,939,26,287,406,115,35,56,3,2,6,22,7
G31333,Paudorf,2001,1547,1505,42,643,402,225,117,56,8,2,27,13,12
G31336,Rastenfeld,1180,974,934,40,191,411,181,38,81,2,4,8,11,7
G31337,Rohrendorf bei Krems,1439,1141,1116,25,305,411,201,96,67,4,3,13,14,2
G31338,Rossatz-Arnsdorf,916,739,717,22,187,304,92,39,51,5,1,14,17,7
G31340,St Leonhard am Hornerwald,976,770,752,18,133,396,102,36,50,7,4,7,6,11
G31343,Senftenberg,1632,1288,1253,35,391,463,191,85,81,8,2,11,17,4
G31344,Spitz,1386,1132,1102,30,259,516,163,47,73,4,4,5,19,12
G31346,Straß im Straßertale,1216,1009,974,35,205,450,150,74,58,3,3,16,11,4
G31347,Stratzing,656,524,515,9,95,254,81,37,24,0,1,8,14,1
G31350,Weinzierl am Walde,1084,879,860,19,158,516,106,18,31,6,7,3,10,5
G31351,Weißenkirchen in der Wachau,1225,1036,1000,36,254,445,166,60,35,2,1,19,15,3
G31355,Schönberg am Kamp,1526,1233,1193,40,232,513,206,104,61,14,11,16,27,9
G31356,Droß,679,570,553,17,141,174,108,51,45,3,1,8,15,7
G31401,Annaberg,488,384,373,11,96,176,49,9,29,0,0,3,7,4
G31402,Eschenau,1060,807,787,20,188,312,131,71,59,4,4,6,9,3
G31403,Hainfeld,2967,2297,2241,56,865,598,382,140,150,25,8,19,34,20
G31404,Hohenberg,1273,1056,1025,31,498,233,126,40,57,9,3,10,5,44
G31405,Kaumberg,788,626,618,8,122,279,110,32,40,4,9,7,9,6
G31406,Kleinzell,692,578,559,19,104,256,111,19,51,6,1,2,4,5
G31407,Lilienfeld,2197,1680,1646,34,510,532,272,142,104,17,11,23,18,17
G31408,Mitterbach am Erlaufsee,468,338,333,5,88,145,66,4,21,0,3,2,3,1
G31409,Ramsau,649,524,514,10,104,227,94,16,50,2,6,4,4,7
G31410,Rohrbach an der Gölsen,1291,1059,1029,30,309,369,148,79,71,8,6,13,19,7
G31411,St Aegyd am Neuwalde,1814,1434,1379,55,668,364,167,54,58,12,4,16,3,33
G31412,St Veit an der Gölsen,3166,2593,2512,81,887,735,461,125,179,34,17,22,32,20
G31413,Traisen,2682,2029,1977,52,1001,272,363,113,130,44,13,13,13,15
G31414,Türnitz,1661,1328,1307,21,397,467,279,40,82,4,8,11,10,9
G31502,Artstetten-Pöbring,944,780,758,22,150,392,98,29,62,1,5,5,9,7
G31503,Bergland,1451,1164,1126,38,241,511,207,43,65,2,16,5,24,12
G31504,Bischofstetten,957,785,773,12,233,297,125,38,57,5,0,4,6,8
G31505,Blindenmarkt,1884,1438,1401,37,278,349,498,89,95,10,23,14,13,32
G31506,Dorfstetten,495,357,351,6,96,146,73,6,22,0,7,0,1,0
G31507,Dunkelsteinerwald,1884,1546,1484,62,303,554,360,65,120,13,21,13,21,14
G31508,Erlauf,877,719,699,20,199,233,159,29,52,8,4,0,13,2
G31509,Golling an der Erlauf,1243,967,938,29,539,66,214,36,59,6,2,4,6,6
G31511,Hofamt Priel,1363,1163,1115,48,398,390,162,55,67,6,19,6,7,5
G31513,Hürm,1343,1066,1044,22,129,599,151,42,84,2,7,14,12,4
G31514,Kilb,2041,1636,1571,65,256,756,222,117,135,12,11,13,28,21
G31515,Kirnberg an der Mank,814,699,672,27,63,410,71,35,64,1,9,3,12,4
G31516,Klein-Pöchlarn,818,611,593,18,249,151,101,31,36,5,3,6,2,9
G31517,Krummnußbaum,1133,915,895,20,353,239,136,50,60,8,15,9,19,6
G31519,Leiben,1098,852,828,24,385,212,133,29,34,4,13,7,4,7
G31520,Loosdorf,2895,2235,2175,60,904,423,537,100,125,11,13,24,24,14
G31521,Mank,2394,1943,1875,68,290,900,334,144,112,15,20,9,36,15
G31522,Marbach an der Donau,1273,1014,987,27,447,253,145,44,61,8,5,4,16,4
G31523,Maria Taferl,687,575,564,11,176,206,88,21,51,2,4,2,5,9
G31524,Melk,4148,3087,3021,66,754,1038,572,293,209,14,12,68,43,18
G31525,Münichreith-Laimbach,1397,1110,1066,44,352,399,188,34,61,4,11,5,3,9
G31527,Neumarkt an der Ybbs,1453,1077,1057,20,375,250,242,60,89,5,2,4,10,20
G31528,Nöchling,815,652,640,12,179,254,102,31,49,5,8,2,5,5
G31530,Persenbeug-Gottsdorf,1831,1467,1438,29,740,243,232,66,99,11,13,13,14,7
G31531,Petzenkirchen,1067,830,811,19,327,174,181,40,54,4,4,9,9,9
G31533,Pöchlarn,3072,2141,2082,59,756,537,446,129,130,16,9,24,23,12
G31534,Pöggstall,2071,1631,1583,48,376,710,270,49,120,5,14,9,19,11
G31535,Raxendorf,882,744,727,17,175,390,78,14,36,1,4,1,14,14
G31537,Ruprechtshofen,1790,1435,1395,40,193,637,359,81,73,2,11,10,18,11
G31539,St Leonhard am Forst,2480,1965,1907,58,364,772,443,127,95,9,21,24,26,26
G31540,St Martin-Karlsbach,1394,1136,1108,28,355,403,192,59,59,1,7,8,14,10
G31541,St Oswald,868,704,683,21,159,363,89,24,25,5,13,1,3,1
G31542,Schönbühel-Aggsbach,849,645,636,9,176,207,139,42,50,3,1,7,5,6
G31543,Schollach,756,599,588,11,174,229,120,20,28,2,0,3,5,7
G31546,Weiten,920,725,701,24,156,369,95,27,34,4,4,6,3,3
G31549,Ybbs an der Donau,4434,3181,3087,94,1294,656,602,163,247,16,19,39,26,25
G31550,Zelking-Matzleinsdorf,999,807,782,25,211,329,128,46,37,2,6,2,15,6
G31551,Texingtal,1254,979,952,27,107,544,128,67,66,5,9,5,12,9
G31552,Yspertal,1495,1194,1165,29,390,435,194,43,73,2,9,7,7,5
G31553,Emmersdorf an der Donau,1384,1078,1039,39,306,380,139,83,79,8,17,8,15,4
G31601,Altlichtenwarth,653,491,476,15,125,218,82,7,29,1,2,7,4,1
G31603,Asparn an der Zaya,1406,1151,1114,37,328,435,237,37,53,4,3,5,8,4
G31604,Bernhardsthal,1418,1158,1126,32,422,395,182,30,56,5,4,8,14,10
G31605,Bockfließ,1098,902,882,20,281,315,158,53,44,3,1,15,7,5
G31606,Drasenhofen,861,669,658,11,95,367,119,12,50,2,3,7,3,0
G31608,Falkenstein,400,313,305,8,24,197,20,38,11,5,0,5,4,1
G31609,Fallbach,693,545,531,14,93,363,33,15,14,2,4,0,4,3
G31611,Gaubitsch,746,617,595,22,53,397,87,16,25,1,3,3,7,3
G31612,Gaweinstal,2894,2268,2205,63,680,791,439,110,126,6,0,22,18,13
G31613,Gnadendorf,969,795,775,20,147,415,107,33,51,4,4,6,4,4
G31614,Großebersdorf,1787,1427,1399,28,352,504,299,80,99,7,8,15,23,12
G31615,Großengersdorf,1126,960,935,25,347,314,150,63,36,8,4,6,4,3
G31616,Großharras,998,800,785,15,187,370,143,31,41,4,1,3,2,3
G31617,Großkrut,1298,1076,1034,42,270,440,196,41,52,5,1,10,11,8
G31620,Hausbrunn,726,604,586,18,297,156,91,7,16,8,2,3,1,5
G31621,Herrnbaumgarten,798,667,650,17,120,307,135,34,34,4,1,2,4,9
G31622,Hochleithen,938,758,736,22,239,253,124,37,47,1,3,14,17,1
G31627,Kreuttal,1160,955,922,33,282,310,170,87,41,5,5,12,6,4
G31628,Kreuzstetten,1226,985,967,18,300,319,172,76,43,8,11,20,8,10
G31629,Laa an der Thaya,5106,4024,3910,114,1389,1287,612,251,232,16,15,36,38,34
G31630,Ladendorf,1821,1478,1431,47,403,486,356,82,56,3,2,22,9,12
G31633,Mistelbach,8805,6818,6607,211,1875,2233,1252,560,367,37,17,121,87,58
G31634,Neudorf bei Staatz,1132,948,920,28,283,333,179,32,56,8,7,4,12,6
G31636,Niederleis,711,581,570,11,190,187,120,28,24,2,1,7,10,1
G31642,Pillichsdorf,902,772,753,19,173,285,102,102,31,8,17,16,7,12
G31644,Poysdorf,4441,3638,3533,105,789,1741,552,117,219,14,12,37,25,27
G31645,Rabensburg,916,708,690,18,373,98,139,14,39,2,12,5,6,2
G31646,Schrattenberg,724,570,554,16,83,334,84,9,34,0,1,5,4,0
G31649,Staatz,1691,1339,1300,39,356,554,217,66,62,11,3,9,14,8
G31650,Stronsdorf,1364,1132,1112,20,171,588,218,35,72,2,5,8,11,2
G31651,Ulrichskirchen-Schleinbach,2004,1627,1594,33,538,448,289,168,87,11,1,24,14,14
G31652,Unterstinkenbrunn,475,391,381,10,62,211,55,15,23,1,1,3,7,3
G31653,Wildendürnbach,1289,1060,1019,41,181,577,154,32,41,6,6,15,5,2
G31654,Wilfersdorf,1644,1344,1299,45,408,438,293,53,54,4,4,21,12,12
G31655,Wolkersdorf im Weinviertel,5184,4142,4075,67,1025,1418,653,554,203,22,15,99,49,37
G31658,Ottenthal,500,432,417,15,65,251,54,14,17,4,2,2,2,6
G31701,Achau,939,698,681,17,254,150,127,87,31,3,2,14,5,8
G31702,Biedermannsdorf,2290,1751,1725,26,447,542,292,231,115,9,5,54,16,14
G31703,Breitenfurt bei Wien,4637,3529,3472,57,942,971,548,520,243,19,26,148,33,22
G31704,Brunn am Gebirge,8177,6036,5927,109,1734,1580,1043,821,378,47,22,206,63,33
G31706,Gaaden,1201,926,911,15,169,301,151,143,91,7,5,27,9,8
G31707,Gießhübl,1512,1164,1143,21,223,428,127,200,72,2,11,56,10,14
G31709,Gumpoldskirchen,2707,2121,2080,41,549,587,338,287,178,11,8,83,21,18
G31710,Guntramsdorf,6665,5158,5067,91,1880,937,999,554,394,31,25,169,42,36
G31711,Hennersdorf,1210,982,967,15,343,232,190,105,59,9,1,19,4,5
G31712,Hinterbrühl,2995,2214,2193,21,403,878,263,321,107,15,11,144,27,24
